Hora,Temperatura_C,Radiancia_W_m2,Temperatura_celula_C,Potencia_W
19,"23,2",0,"23,2",0
20,"23,5",0,"23,5",0
21,"23,1",0,"23,1",0
22,"23,1",0,"23,1",0
23,"23,1",0,"23,1",0
24,"22,9",0,"22,9",0
1,23,0,23,0
2,"23,3",0,"23,3",0
3,"23,2",0,"23,2",0
4,23,0,23,0
5,"22,8",0,"22,8",0
6,"23,2",0,"23,2",0
7,"23,7","20,7723884","24,34913714","68,00759101"
8,"22,7","20,4946084","23,34045651","67,09940422"
9,"23,1","57,194902","24,88734069","187,2509219"
