Hora,Temperatura_C,Radiancia_W_m2,Temperatura_celula_C,Potencia_W
15,"27,4","227,612932","34,51290413","745,0517503"
16,"26,8","134,945524","31,01704763","441,7494395"
17,"26,6","65,41719","28,64428719","214,1551009"
18,"25,8","15,2278996","26,27587186","49,85348493"
19,"25,6",0,"25,6",0
20,"25,1",0,"25,1",0
21,"24,8",0,"24,8",0
22,"25,1",0,"25,1",0
23,"25,1",0,"25,1",0
24,"24,7",0,"24,7",0
1,"24,3",0,"24,3",0
2,"23,9",0,"23,9",0
3,"23,3",0,"23,3",0
4,"23,4",0,"23,4",0
5,"23,7",0,"23,7",0
6,"23,2",0,"23,2",0
7,"23,5","9,2334072","23,78854398","30,22995062"
8,"24,3","40,97255","25,58039219","134,1386974"
9,"25,7","103,167492","28,92398413","337,7358556"
10,"26,8","196,640462","32,94501444","643,6873256"
11,"30,5","688,8944","52,02795","2254,248356"
12,"33,2","797,50638","58,12207438","2609,362477"
13,"32,6","844,72898","58,99778063","2763,825497"
14,"34,1","725,83914","56,78247313","2374,933049"
15,"32,8","511,94854","48,79839188","1675,333633"
16,32,"279,72446","40,74138938","915,5246218"
17,"32,7","255,307598","40,67836244","835,610386"
18,"31,3","79,639526","33,78873519","260,6897626"
19,"29,6",0,"29,6",0
20,"28,6",0,"28,6",0
21,"27,8",0,"27,8",0
22,"27,2",0,"27,2",0
23,"25,9",0,"25,9",0
24,"25,1",0,"25,1",0
1,"25,1",0,"25,1",0
2,"24,7",0,"24,7",0
3,"25,4",0,"25,4",0
4,25,0,25,0
5,"24,9",0,"24,9",0
6,"25,2",0,"25,2",0
7,"25,6","46,972598","27,06789369","153,7778384"
8,"28,9","150,667872","33,608371","493,1935747"
9,"28,7","297,2246","37,98826875","972,8511639"
10,"31,3","634,44952","51,1265475","2076,124565"
11,"32,1","660,00528","52,725165","2159,687564"
12,"33,3","749,45044","56,72032625","2452,191625"
13,"32,7","357,50286","43,87196438","1170,021954"
14,"33,1","612,22712","52,2320975","2003,36478"
15,34,"526,67088","50,458465","1723,45916"
16,"32,8","497,50398","48,34699938","1628,077883"
17,"31,9","192,862654","37,92695794","631,2629228"
18,"30,7","60,444928","32,588904","197,8630916"
19,"29,5",0,"29,5",0
20,"28,2",0,"28,2",0
21,"26,5",0,"26,5",0
22,"26,6",0,"26,6",0
23,"26,8",0,"26,8",0
24,"26,9",0,"26,9",0
1,"25,6",0,"25,6",0
2,"25,6",0,"25,6",0
3,"24,3",0,"24,3",0
4,"23,3",0,"23,3",0
5,23,0,23,0
6,"26,6",0,"26,6",0
7,"27,9","40,305878","29,15955869","131,9473872"
8,"29,5","127,50102","33,48440688","417,3605616"
9,"31,2","475,0038","46,04386875","1554,512305"
10,"33,2","711,1168","55,4224","2326,820232"
